Período: 12/05 à 10/06/2018;;;;;;;;;;;;;;;
Faixas de 01h;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 07:00:00;00:02:26;00:02:35;00:01:38;00:01:48;00:01:38;00:01:48;00:02:58;00:00:16;00:01:42;00:00:14;00:00:00;00:00:00;00:00:02;00:02:38;00:00:34
07:00:00 - 08:00:00;00:05:30;00:05:16;00:01:59;00:05:01;00:01:59;00:04:39;00:04:58;00:01:40;00:02:34;00:03:54;00:00:58;00:00:02;00:00:28;00:03:47;00:02:36
08:00:00 - 09:00:00;00:04:40;00:04:26;00:00:57;00:03:25;00:00:57;00:03:23;00:04:08;00:02:10;00:02:04;00:04:17;00:00:24;00:00:28;00:01:04;00:02:50;00:02:56
09:00:00 - 10:00:00;00:09:22;00:08:40;00:01:41;00:09:39;00:01:41;00:08:25;00:09:27;00:02:47;00:01:56;00:10:38;00:00:04;00:00:48;00:02:15;00:06:40;00:04:36
10:00:00 - 11:00:00;00:11:14;00:11:17;00:04:06;00:08:48;00:03:56;00:08:38;00:09:22;00:04:38;00:05:09;00:09:35;00:00:58;00:00:40;00:01:12;00:08:00;00:05:39
11:00:00 - 12:00:00;00:08:13;00:08:12;00:02:53;00:08:33;00:02:36;00:08:25;00:08:50;00:05:21;00:05:08;00:08:13;00:01:46;00:01:18;00:02:16;00:07:01;00:04:17
12:00:00 - 13:00:00;00:07:18;00:07:44;00:02:05;00:07:04;00:01:11;00:07:32;00:06:32;00:06:06;00:04:54;00:07:36;00:01:05;00:01:44;00:01:23;00:04:08;00:07:26
13:00:00 - 14:00:00;00:07:18;00:06:56;00:04:02;00:05:37;00:03:12;00:04:55;00:06:32;00:05:05;00:06:04;00:03:15;00:00:52;00:00:18;00:02:59;00:02:33;00:06:16
14:00:00 - 15:00:00;00:08:00;00:07:59;00:07:35;00:09:36;00:06:20;00:08:37;00:08:31;00:04:44;00:09:12;00:04:50;00:00:54;00:01:37;00:06:37;00:06:25;00:07:13
15:00:00 - 16:00:00;00:08:24;00:08:37;00:07:17;00:09:11;00:07:10;00:09:03;00:08:58;00:06:18;00:07:28;00:06:24;00:01:20;00:02:04;00:05:43;00:06:09;00:08:20
16:00:00 - 17:00:00;00:08:04;00:08:33;00:05:07;00:07:39;00:04:14;00:07:00;00:08:19;00:07:20;00:05:41;00:07:49;00:02:14;00:03:12;00:02:17;00:05:58;00:07:29
17:00:00 - 18:00:00;00:06:03;00:06:34;00:02:00;00:05:24;00:02:00;00:05:08;00:06:16;00:05:05;00:02:25;00:09:25;00:02:32;00:00:46;00:02:18;00:05:17;00:05:28
18:00:00 - 19:00:00;00:06:44;00:06:26;00:03:47;00:06:11;00:03:24;00:06:23;00:06:20;00:05:34;00:04:44;00:07:29;00:05:49;00:01:36;00:02:54;00:04:55;00:04:55
19:00:00 - 20:00:00;00:08:41;00:08:30;00:06:47;00:09:39;00:06:17;00:09:36;00:09:06;00:07:11;00:07:26;00:08:24;00:03:00;00:02:02;00:02:51;00:09:49;00:07:17
20:00:00 - 21:00:00;00:10:47;00:11:01;00:09:06;00:10:48;00:08:10;00:10:13;00:11:11;00:10:31;00:12:13;00:09:44;00:01:34;00:03:32;00:04:41;00:09:16;00:09:57
21:00:00 - 22:00:00;00:10:19;00:10:22;00:09:26;00:11:51;00:09:07;00:12:10;00:10:29;00:08:10;00:10:05;00:11:23;00:02:45;00:01:44;00:03:06;00:11:50;00:08:18
22:00:00 - 23:00:00;00:09:34;00:09:49;00:06:22;00:10:03;00:05:40;00:09:58;00:10:04;00:07:57;00:06:20;00:13:02;00:01:42;00:01:00;00:04:54;00:13:50;00:06:07
23:00:00 - 24:00:00;00:07:48;00:07:39;00:03:12;00:06:51;00:03:12;00:06:59;00:07:07;00:06:11;00:04:53;00:09:21;00:01:35;00:00:54;00:05:10;00:10:37;00:03:10
24:00:00 - 25:00:00;00:06:10;00:05:58;00:06:27;00:06:41;00:06:28;00:06:42;00:06:46;00:03:25;00:06:11;00:05:09;00:01:01;00:01:46;00:03:22;00:05:44;00:03:30
25:00:00 - 26:00:00;00:05:34;00:05:31;00:02:35;00:05:36;00:02:33;00:05:35;00:06:14;00:02:59;00:04:39;00:03:39;00:00:00;00:01:02;00:02:30;00:04:14;00:02:21
26:00:00 - 27:00:00;00:04:23;00:04:17;00:01:40;00:02:50;00:01:38;00:02:16;00:03:19;00:02:01;00:03:04;00:02:10;00:00:00;00:02:22;00:00:43;00:02:29;00:00:50
27:00:00 - 28:00:00;00:06:23;00:06:24;00:01:32;00:04:26;00:01:32;00:04:26;00:04:48;00:01:46;00:01:54;00:04:39;00:00:06;00:00:22;00:00:06;00:05:44;00:00:34
28:00:00 - 29:00:00;00:04:05;00:04:05;00:03:12;00:03:58;00:01:36;00:02:22;00:04:04;00:00:38;00:03:48;00:01:04;00:00:00;00:00:06;00:01:38;00:02:08;00:00:50
29:00:00 - 30:00:00;00:02:18;00:02:18;00:01:18;00:01:42;00:01:18;00:01:42;00:02:10;00:00:38;00:01:34;00:00:32;00:00:02;00:00:00;00:00:16;00:01:42;00:00:35
06:00:00 - 30:00:00;00:11:51;00:11:49;00:11:18;00:14:02;00:10:23;00:14:05;00:13:06;00:10:21;00:10:06;00:14:56;00:09:16;00:14:44;00:09:18;00:17:57;00:09:23
;;;;;;;;;;;;;;;
