Nível 2 de caminho da página;Visualizações de página;Taxa de rejeição;;;;;;;;;
/momento-da-pesca/;18168;66,60%;;;;;;;;;
/sabores/;16764;45,71%;;;;;;;;;
/pesque-e-pague/;11595;66,15%;;;;;;;;;
/fish-tv-teste/;6726;71,85%;;;;;;;;;
/biopesca/;5502;72,44%;;;;;;;;;
/pura-pesca/;5347;61,84%;;;;;;;;;
/na-pegada-do-fly/;5208;64,18%;;;;;;;;;
/elas-na-pesca/;4192;66,70%;;;;;;;;;
/saltwater/;4134;54,64%;;;;;;;;;
/provas-e-torneios/;3768;71,23%;;;;;;;;;
/ases-da-pesca/;3711;65,48%;;;;;;;;;
/a-arte-do-atado/;3662;57,86%;;;;;;;;;
/aquarismo/;3658;65,27%;;;;;;;;;
/fishing-guide/;3497;51,86%;;;;;;;;;
/mar-e-praia/;3349;67,23%;;;;;;;;;
/pesca-dinamica/;2697;68,22%;;;;;;;;;
/aqua-negocios/;2629;60,12%;;;;;;;;;
/coracao-de-pescador/;2270;69,67%;;;;;;;;;
/pasion-por-la-pesca/;2150;60,22%;;;;;;;;;
/destinos/;2053;76,02%;;;;;;;;;
/a-meta/;1986;57,48%;;;;;;;;;
/campeonato-brasileiro/;1403;74,39%;;;;;;;;;
/turmas-de-pesca/;712;69,66%;;;;;;;;;
/vida-de-guia/;23;50,00%;;;;;;;;;
/;22;0,00%;;;;;;;;;
/momen...;4;25,00%;;;;;;;;;
/aqua-...;2;0,00%;;;;;;;;;
/aqua-negocios;1;0,00%;;;;;;;;;
/ases-da-pesca;1;0,00%;;;;;;;;;
/custom.../;1;0,00%;;;;;;;;;
/momento da pesca em canavieiras;1;0,00%;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
