Índice do dia;Visualizações de página
12/05/2018;3639
13/05/2018;3670
14/05/2018;4157
15/05/2018;4091
16/05/2018;3972
17/05/2018;4631
18/05/2018;4695
19/05/2018;4233
20/05/2018;4009
21/05/2018;4080
22/05/2018;4088
23/05/2018;3760
24/05/2018;3816
25/05/2018;3842
26/05/2018;2969
27/05/2018;3781
28/05/2018;3653
29/05/2018;4144
30/05/2018;3230
31/05/2018;3785
01/06/2018;4105
02/06/2018;3911
03/06/2018;3725
04/06/2018;3583
05/06/2018;3927
06/06/2018;3325
07/06/2018;4296
08/06/2018;3646
09/06/2018;3214
10/06/2018;3259
