Faixas de 01h;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
06:00:00 - 07:00:00;0,2006;0,224;0,1485;0,1593;0,1485;0,1593;0,2048;0,0192;0,1619;0,0142;0;0;0,0024;0,1866;0,035
07:00:00 - 08:00:00;0,5768;0,6991;0,1678;0,4181;0,1678;0,371;0,5177;0,1815;0,3475;0,3078;0,0651;0,0025;0,0533;0,3254;0,2528
08:00:00 - 09:00:00;0,8656;0,9307;0,0725;0,5553;0,0725;0,5363;0,7245;0,2062;0,192;0,5858;0,015;0,0222;0,0829;0,4049;0,4057
09:00:00 - 10:00:00;1,2518;1,2822;0,1283;0,9572;0,1283;0,8473;1,0607;0,2215;0,2788;0,9655;0,0045;0,0523;0,198;0,6595;0,3679
10:00:00 - 11:00:00;1,5313;1,5957;0,4698;0,9948;0,4278;0,9529;1,2813;0,3144;0,6007;0,7326;0,0388;0,0379;0,0993;0,7972;0,6225
11:00:00 - 12:00:00;1,5311;1,6134;0,3851;0,9851;0,3447;0,9309;1,15;0,4634;0,8095;0,7556;0,1074;0,0976;0,1805;0,6208;0,6072
12:00:00 - 13:00:00;1,2792;1,522;0,2541;0,8504;0,172;0,7644;1,0057;0,5163;0,6718;0,7906;0,0897;0,1239;0,147;0,2983;0,8632
13:00:00 - 14:00:00;1,6919;1,6566;0,563;0,9801;0,4415;0,8586;1,0792;0,5774;0,9508;0,5654;0,049;0,0195;0,219;0,1841;1,185
14:00:00 - 15:00:00;2,6694;3,1406;1,002;1,737;0,7541;1,471;2,3076;0,833;1,8702;0,9699;0,077;0,1678;0,7071;0,7318;1,4569
15:00:00 - 16:00:00;3,1684;3,7621;1,2983;2,277;1,0957;2,0722;2,627;1,1351;2,185;1,3938;0,1051;0,1766;0,4364;0,7145;2,3295
16:00:00 - 17:00:00;2,7759;3,1982;0,7867;1,8419;0,6369;1,6869;2,278;0,9203;1,2748;1,5271;0,1285;0,1565;0,2402;0,7665;1,9065
17:00:00 - 18:00:00;2,0104;2,4907;0,3075;1,2828;0,2966;1,1644;1,7599;0,7308;0,5341;1,686;0,2294;0,0516;0,2311;0,6761;1,3025
18:00:00 - 19:00:00;2,4744;2,7365;0,569;1,5987;0,4632;1,4631;1,7062;1,0303;1,0184;1,6227;0,3325;0,1003;0,2942;0,8192;1,1903
19:00:00 - 20:00:00;2,9699;3,7398;1,1502;2,2739;1,0884;2,2073;2,3569;1,3829;1,9467;1,6689;0,1489;0,1471;0,2517;1,3787;1,8133
20:00:00 - 21:00:00;3,9979;5,0713;1,3025;2,4911;1,0578;2,2403;2,8675;2,2038;2,6256;2,1178;0,1205;0,219;0,4039;1,5167;2,8111
21:00:00 - 22:00:00;4,294;5,3595;1,3689;2,9852;1,2785;2,8499;3,1438;2,2157;2,3035;2,945;0,1582;0,1247;0,2738;2,535;2,2678
22:00:00 - 23:00:00;3,7863;4,5433;1,1708;2,3998;1,0765;2,2967;2,6059;1,9374;1,7309;2,7308;0,1205;0,0552;0,4351;2,2398;1,6927
23:00:00 - 24:00:00;2,1725;2,723;0,4619;1,2716;0,4619;1,2243;1,5046;1,2184;0,9999;1,6188;0,1368;0,105;0,4825;1,4709;0,5278
24:00:00 - 25:00:00;1,2848;1,9674;0,6036;0,9517;0,574;0,9001;1,3006;0,6668;1,3642;0,5849;0,0588;0,2431;0,4593;0,7529;0,4534
25:00:00 - 26:00:00;0,794;0,8494;0,245;0,4767;0,2424;0,4678;0,5995;0,2498;0,5476;0,2592;0;0,0811;0,1374;0,3707;0,2602
26:00:00 - 27:00:00;0,4934;0,4598;0,1293;0,2372;0,1284;0,2006;0,2992;0,1606;0,2984;0,1614;0;0,0812;0,0596;0,2376;0,0814
27:00:00 - 28:00:00;0,469;0,5056;0,1541;0,3468;0,1541;0,3468;0,3558;0,1498;0,1631;0,3425;0,0102;0,009;0,0096;0,4417;0,0352
28:00:00 - 29:00:00;0,3557;0,4007;0,3142;0,359;0,1513;0,1961;0,3719;0,0288;0,3381;0,0626;0;0,0042;0,1753;0,1678;0,0534
29:00:00 - 30:00:00;0,1923;0,2242;0,1249;0,1472;0,1249;0,1472;0,1682;0,056;0,1371;0,0301;0,0018;0;0,0377;0,1399;0,0448
06:00:00 - 30:00:00;1,7849;2,1123;0,5491;1,1907;0,4787;1,0981;1,3865;0,7258;0,9729;1,0183;0,0832;0,0866;0,234;0,7682;0,9403
;;;;;;;;;;;;;;;
