Data_Samba;Visualizações por dia
10/06/2018;1652
09/06/2018;1524
08/06/2018;1752
07/06/2018;2022
06/06/2018;1571
05/06/2018;1773
04/06/2018;1639
03/06/2018;1739
02/06/2018;1930
01/06/2018;1855
31/05/2018;1599
30/05/2018;1569
29/05/2018;2112
28/05/2018;1612
27/05/2018;1711
26/05/2018;1317
25/05/2018;1593
24/05/2018;1557
23/05/2018;1802
22/05/2018;1997
21/05/2018;1907
20/05/2018;1931
19/05/2018;1965
18/05/2018;2192
17/05/2018;2047
16/05/2018;1951
15/05/2018;2191
14/05/2018;1990
13/05/2018;1789
12/05/2018;1841
