ID;TITULO;VALOR;RELEVANCIA;ATIVO
170;Camiseta Hei Matau Maori (teste);0;1;0
168;Pulseira Anzol For Fisher;0;5;0
167;Pulseira Anzol Hei Matau;0;5;0
166;Pulseira Anzol 3 voltas;0;5;0
165;Colar Isca Stick;39,9;5;1
164;Colar Hei Matau Metal;39,9;5;1
163;Colar Anzol For Fisher;39,9;5;1
162;Sandália Esse é Bruto!;0;5;0
161;Sandália Tucunaré Aquarela;0;5;0
160;Porta Copos Anzol + Pesco Logo Existo;0;5;0
159;Porta Copos Salto do Tucunaré + Pesco Logo Existo;0;5;0
158;Caneca Pescar... Começar;34,9;5;1
157;Caneca Cardume Fish TV;34,9;5;1
156;Caneca Pampo Maori;34,9;5;1
155;Caneca Tucunaré Aquarela;39,9;5;1
154;Caneca Salto do Tucunaré;34,9;5;1
153;Caneca Salto do Dourado;34,9;5;1
152;Chaveiro For Fisher;19,9;5;1
151;Chaveiro Tucunaré;19,9;5;1
150;Chaveiro Pesque e Solte;19,9;5;1
149;Abridor Pesque e Solte;19,9;5;1
148;Boné Tamba Fisher;69,9;5;1
147;Boné Isca Stick;69,9;5;1
146;Boné Pescar e Soltar;69,9;5;1
145;Boné Pesco Logo Existo;69,9;5;1
144;Boné For Fisher Aba Reta;69,9;5;1
143;Boné Robalo Maori;69,9;5;1
142;Boné Pampo Maori;69,9;5;1
141;"Boné ""Esse é Bruto!""";69,9;5;1
140;Boné Pesque & Pague;69,9;5;1
139;Boné Escama Tambaqui;69,9;5;1
138;Boné Clássico Tucunaré;69,9;5;1
137;Boné Escama Tucunaré;69,9;5;1
136;Boné Escama Dourado;69,9;5;1
135;Boné Clássico Dourado;69,9;5;1
134;Camiseta Baby Look Tambaqui Aquarela - Preta;79,9;5;1
133;Camiseta Tambaqui Aquarela - Preta;79,9;5;1
132;Camiseta Tambaqui Aquarela - Branca;79,9;5;1
131;Camiseta Tamba Fisher;79,9;5;1
130;Camiseta Baby Look Robalo Maori;79,9;5;1
129;Camiseta Robalo Maori;79,9;5;1
128;Camiseta Pescar e Soltar;79,9;5;1
127;Camiseta Tucunaré Aquarela - Preta;79,9;5;1
126;Camiseta Baby Look Tucunaré Aquarela - Branca;79,9;5;1
125;Camiseta Tucunaré Aquarela - Branca;79,9;5;1
124;Camiseta Pescar é o Meu Esporte;79,9;5;1
123;Camiseta Baby Look Peixe Grande Toma Linha;79,9;5;1
122;Camiseta Peixe Grande Toma Linha;79,9;5;1
121;Camiseta Pampo Maori - Azul;79,9;5;1
120;Camiseta Pampo Maori - Branca;79,9;5;1
119;Camiseta Baby Look Hei Matau Maori - Preta;79,9;5;1
118;Camiseta Hei Matau Maori - Preta;79,9;5;1
117;Camiseta Hei Matau Maori - Branca;79,9;5;1
116;Camiseta Baby Look Cardume Fish TV;79,9;5;1
115;Camiseta Cardume Fish TV;79,9;5;1
114;Camiseta Boia Cevadeira;79,9;5;1
113;Camiseta Anzol For Fisher;79,9;5;1
112;Boné Momento da Pesca - Edição limitada;79,9;5;1
103;Camiseta Infantil Galera Fish TV;119,9;2;1
102;Camiseta Fish TV Angler;199,9;2;1
101;Camiseta Estrelas Fish TV;199,9;2;1
100;Camiseta Salto da Cachorra;87,9;4;1
99;Camiseta Salto do Robalo;87,9;4;1
98;Camiseta Salto do Tucunaré;87,9;4;1
97;Camiseta Salto do Dourado;87,9;4;1
96;Camiseta Mestre da Emboscada;89,9;4;1
95;Camiseta Caçador do Mangue;89,9;4;1
94;Camiseta Embaixador da Pesca;89,9;4;1
93;Camiseta Rei do Rio;89,9;4;1
91;DVD Documentário Tucunaré-açu;39,9;3;1
90;Squeeze For Fisher;39,9;3;1
89;Camiseta For Fisher;87,9;4;1
88;Camiseta Print Pesco Logo Existo;87,9;4;1
87;Camiseta Manifesto For Fisher;87,9;4;1
86;"Camiseta ""Pesco, Logo Existo""";87,9;4;1
85;Boné Tucunaré Tribal;69,9;4;1
83;Boné Dourado Tribal;69,9;4;1
80;Boné Fish TV;79,9;4;1
79;Boné Momento da Pesca;79,9;4;1
78;Camiseta Dourado Tribal;87,9;2;1
77;Camiseta Traíra Tribal;87,9;2;1
76;Camiseta Tucunaré Tribal;87,9;2;1
75;Camiseta Robalo Tribal;87,9;2;1
74;Sandália For Fisher;79,9;1;1
73;Sandália Robalo Tribal;79,9;1;1
72;Sandália Tucunaré Tribal;79,9;1;1
71;Sandália Dourado Tribal;79,9;1;1
70;Sandália Traíra Tribal;79,9;1;1
69;Caneca For Fisher;29,9;3;1
68;Pulseira Macramê Tucunaré Preta e Marrom;49,9;1;1
67;Pulseira Macramê Traíra Preta e Marrom;49,9;1;1
66;Pulseira Macramê Robalo Preta e Marrom;49,9;1;1
65;Pulseira Macramê Dourado Preta e Marrom;49,9;1;0
64;Pulseira Macramê Tucunaré Café;49,9;1;1
63;Pulseira Macramê Traíra Café;49,9;1;1
62;Pulseira Macramê Robalo Café;49,9;1;1
61;Pulseira Macramê Dourado Café;49,9;1;1
60;Pulseira Macramê Tucunaré Preta;49,9;1;1
59;Pulseira Macrame Traíra Preta;49,9;1;1
58;Pulseira Macrame Robalo Preta;49,9;1;1
57;Pulseira Macramê Dourado Preta;49,9;1;1
56;Cinto Tucunaré;109,9;1;1
55;Cinto Dourado;109,9;1;1
54;Boné For Fisher;69,9;4;1
52;Kit Robalo;114,7;1;0
51;Kit Marlin;114,7;1;0
50;Kit Dourado;114,7;1;0
49;Kit Tambaqui;114,7;1;0
48;Kit Traíra;114,7;1;0
47;Kit Tucunaré;114,7;1;0
46;Camiseta Tribalnaré For Fisher;69,9;2;1
45;Camiseta Técnicas For Fisher;69,9;2;1
44;Camiseta #pescologoexisto;69,9;2;1
43;Camiseta Baby Look Tribalnaré For Fisher;69,9;2;1
42;Camiseta Baby Look #pescologoexisto;69,9;2;1
39;Pulseira Tucunaré em Recorte;29,9;1;1
38;Pulseira Traíra em Recorte;29,9;1;1
37;Pulseira Tambaqui em Recorte;29,9;1;1
36;Pulseira Robalo em Recorte;29,9;1;1
35;Pulseira Marlin em Recorte;29,9;1;1
34;Pulseira Dourado em Recorte;29,9;1;1
33;Pulseira Tucunaré Emborrachada;29,9;1;1
32;Pulseira Traíra Emborrachada;29,9;1;1
31;Pulseira Tambaqui Emborrachada;29,9;1;1
30;Pulseira Robalo Emborrachada;29,9;1;1
29;Pulseira Marlin Emborrachada;29,9;1;1
28;Pulseira Dourado Emborrachada;29,9;1;1
27;Pulseira Tucunaré Pingente;39,9;1;1
26;Pulseira Traíra Pingente;39,9;1;1
25;Pulseira Tambaqui Pingente;39,9;1;1
24;Pulseira Robalo Pingente;39,9;1;1
23;Pulseira Marlin Pingente;39,9;1;1
22;Pulseira Dourado Pingente;39,9;1;1
21;Quadro Tucunaré (38x30);69,9;1;1
20;Quadro Traíra (38x30cm);69,9;1;1
19;Quadro Tambaqui (38x30cm);69,9;1;1
18;Quadro Robalo (38x30cm);69,9;1;1
17;Quadro Marlin (38x30cm);69,9;1;1
16;Quadro Dourado (38x30cm);69,9;1;1
15;Colar Tucunaré;39,9;1;1
14;Colar Traíra;39,9;1;1
13;Colar Tambaqui;39,9;1;1
12;Colar Robalo;39,9;1;1
11;Colar Marlin;39,9;1;1
10;Colar Hei Matau;49,9;1;1
9;Colar Dourado;39,9;1;1
8;Sandália Tucunaré;79,9;4;1
7;Sandália Traíra;79,9;4;1
6;Sandália Tambaqui;79,9;4;1
5;Sandália Robalo;79,9;4;1
4;Sandália Marlin;79,9;1;0
3;Sandália Dourado;79,9;4;1
