UF;Pedidos;Produtos Vendidos;Ticket Médio;Valor Total;Valor de Frete
AM;1;3;R$ 179,70;R$ 179,70;R$ 34,77
BA;3;15;R$ 294,50;R$ 883,50;R$ 139,83
DF;4;8;R$ 141,05;R$ 564,20;R$ 97,88
ES;3;7;R$ 156,43;R$ 469,30;R$ 79,02
GO;5;11;R$ 155,38;R$ 776,90;R$ 170,55
MA;1;1;R$ 79,90;R$ 79,90;R$ 42,75
MG;19;52;R$ 208,04;R$ 3.952,80;R$ 464,37
MS;4;8;R$ 161,80;R$ 647,20;R$ 102,88
MT;4;11;R$ 165,98;R$ 663,90;R$ 119,69
PE;1;1;R$ 69,90;R$ 69,90;R$ 34,77
PR;19;49;R$ 174,27;R$ 3.311,10;R$ 375,02
RJ;14;28;R$ 142,87;R$ 2.000,20;R$ 422,15
RO;2;15;R$ 414,25;R$ 828,50;R$ 111,46
RS;22;36;R$ 101,61;R$ 2.235,40;R$ 104,95
SC;10;21;R$ 154,69;R$ 1.546,90;R$ 259,80
SP;61;187;R$ 212,43;R$ 12.958,30;R$ 1.352,02
TO;1;2;R$ 149,80;R$ 149,80;R$ 29,22
