Relatório de campanha;;;;;;;;;;;;
4 de Maio de 2018 - 4 de Junho de 2018;;;;;;;;;;;;
Status da campanha;Campanha;Nome do orçamento;Orçamento;Tipo de orçamento;Status;Tipo de estratégia de lances;Tipo de campanha;Impr.;Interações;Taxa de interação;Custo médio;Custo
Pausado;Display - Quinzena de Verão;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Display- Quinzena do Robalo;--;R$20,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena do Amor pela Pesca;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Camp_Vendas_Pesquisa;--;R$30,00 ;Diário;Pausado;Maximizar as conversões;Pesquisar;0;0;--;0;R$0,00 
Removida;Pesquisa - Lançamento;--;R$25,00 ;Diário;Removido;CPC manual;Pesquisar;0;0;--;0;R$0,00 
Removida;Display - Lançamento;--;R$50,00 ;Diário;Removido;CPC manual;Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena da Traíra;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena do Tambaqui;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena da Pesca Com Estilo;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Camp_Nova_Coleção_Video;--;R$10,00 ;Diário;Pausado;CPA desejado;Vídeo;0;0;--;0;R$0,00 
Pausado;Camp_Nova_Coleção_Video_Apresentadores_FFR;--;R$70,00 ;Diário;Pausado;CPV manual;Vídeo;0;0;--;0;R$0,00 
Pausado;Display - Semana do Pescador Esportivo;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena do Peixe na Cabeça;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Display - Youtube Placas;--;R$20,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Camp_Vendas_Nova_Coleção;--;R$50,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Display - Pulseiras Youtube;--;R$50,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Cam_Display_Dia do Cliente;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Conhecimento de Marca;--;R$10,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena do Robalo;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Foco em Vendas;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena do Tucunaré;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Pesquisa - Conhecimento de Marca;--;R$10,00 ;Diário;Pausado;CPC manual;Pesquisar;0;0;--;0;R$0,00 
Removida;Display - Youtube Sandálias;--;R$100,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Display - Canais Pesca Sandálias;--;R$50,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Remarketing;--;R$25,00 ;Diário;Removido;CPC manual;Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena do Pescador;--;R$20,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Pesquisa - Conhecimento de Marca #2;--;R$10,00 ;Diário;Removido;CPC manual;Pesquisar;0;0;--;0;R$0,00 
Pausado;Pesquisa - Foco em Vendas;--;R$20,00 ;Diário;Pausado;CPC manual;Pesquisar;0;0;--;0;R$0,00 
Removida;Display - Portais Sandálias;--;R$50,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Display - Youtube;--;R$65,00 ;Diário;Removido;CPC manual;Display;0;0;--;0;R$0,00 
Pausado;Display - Quinzena da Casa do Pescador;--;R$12,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Pausado;Camp_Remarketing_Vendas;--;R$30,00 ;Diário;Pausado;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;"Display - Pulseiras ""pesca esportiva""";--;R$50,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Ativada;Camp_Pesqueiros;--;R$50,00 ;Diário;Finalizada;Maximizar as conversões;Pesquisar;0;0;--;0;R$0,00 
Removida;Display - Colares;--;R$150,00 ;Diário;Removido;CPC (otimizado);Display;0;0;--;0;R$0,00 
Removida;Display - Dia do Cliente;--;R$50,00 ;Diário;Removido;CPC manual;Display;0;0;--;0;R$0,00 
Total: Campanhas filtradas;;;;;;;;0;0;--;0;R$0,00 
Total: Conta de administrador;;;;;;;;0;0;--;0;R$0,00 
Total: Pesquisar;;;;;;;Pesquisar;0;0;--;0;R$0,00 
Total: Display;;;;;;;Display;0;0;--;0;R$0,00 
Total: Vídeo;;;;;;;Vídeo;0;0;--;0;R$0,00 
