Origem;Usuários;Novos usuários;Sessões;Taxa de rejeição;Páginas / sessão;Duração média da sessão;Taxa de conversão do comércio eletrônico;Transações;Receita
m.facebook.com / referral;2444;2215;2756;74,96%;1,83;32,39;0,18%;5;649,11
google / organic;2377;1954;3128;27,11%;6,58;211,85;2,24%;70;12051,33
google / cpc;1947;1820;2605;78,39%;1,95;61,84;0,58%;15;1778,67
(direct) / (none);1479;1369;1833;51,77%;3,95;126,38;1,09%;20;2997,07
fishtv.com / referral;759;659;875;41,60%;4,81;152,12;0,91%;8;1451,32
instagram.com / referral;659;600;722;57,76%;3,03;60,42;0,83%;6;730,18
facebook.com / referral;293;270;328;71,65%;2,18;67,53;0,30%;1;180,80
lm.facebook.com / referral;166;158;181;90,06%;1,56;24,82;0,00%;0;0,00
l.facebook.com / referral;143;130;172;74,42%;1,81;40,93;0,58%;1;69,98
auto-seo-service.com / referral;50;50;51;100,00%;1,00;0,00;0,00%;0;0,00
;10650;9496;13063;57,41%;3,62;107,68;1,03%;135;21089,62
